Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,red,blue,green,nir,swir16,swir22,NDMI,MNDWI,NDVI,NDTI,SI,SI1,SI2,SWIR_Ratio,ppt,tmax,tmin,pet,soil,def,ppt_3mo,ppt_6mo,tmax_3mo,T_range,Month,DayOfYear
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,12802.0,9557.0,11426.0,11190.0,7687.5,7645.0,0.18553833929280794,0.19559473670442257,-0.06718906302100673,0.05679379230642209,11061.135294353831,15975.839664944062,19641.306702966584,1.0055591890124134,8.3,35.76,21.029999,236.3,0.0,228.40001,12.100000000000003,15.700000000000005,34.680008,14.730000999999998,1,2
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,9241.5,8691.0,9550.0,17658.5,13746.5,10574.0,0.12456615188664187,-0.18013435494602117,0.31289962825278694,-0.016416997046536912,8962.024129626074,12686.165821476558,15878.957876699591,1.3000283714771959,175.0,25.41,14.099999,134.3,35.7,0.0,383.1,410.30000000000007,26.593336,11.310001,1,3
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,12540.0,9502.5,10720.0,15210.0,17974.0,14201.0,-0.08329315332690428,-0.2528054645570494,0.09621621621621587,0.07824591573516734,10916.10507461338,15733.693344221503,19038.579417855733,1.2656855151045612,156.10000000000002,26.07,15.25,141.5,9.900001,0.0,361.8,381.0000000000001,27.199997,10.82,1,3
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,11237.5,9693.5,10943.0,14887.0,13522.0,11403.0,0.04804815375409185,-0.10541590026568524,0.13969645352064103,0.013277428371767935,10436.987412563072,14840.665365811601,18438.94241815403,1.185828290800656,194.7,27.599998,15.96,152.40001,28.2,0.0,407.4,430.1,29.063335,11.639997999999999,1,3
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,9290.0,8718.0,9502.5,16828.5,12665.5,9643.0,0.1411473520037969,-0.14268314687838263,0.2886268353848794,-0.011307702540907218,8999.45665026506,12740.000941915192,15893.556249310599,1.313439800891825,180.4,27.21,16.15,151.90001,21.300001,0.0,385.8,407.6,28.71,11.060000000000002,1,3
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,10728.5,9344.0,10433.5,12433.5,9579.5,8531.5,0.1296506609730608,0.04267226302903092,0.0736119506087554,0.013940081277761961,10012.347576867276,14227.123681545754,17642.816399316747,1.1228388911680112,168.5,27.849998,16.75,155.7,5.3,0.0,356.0,373.5,29.230001,11.099998,1,4
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,5122.0,4984.0,5189.5,7814.0,6664.0,5222.0,0.07943086061610664,-0.12439363900957418,0.20810142238713505,-0.006546089317751961,5052.528871763129,7146.687344497449,8832.103387642153,1.276139410187643,107.4,30.33,18.77,158.2,1.1,56.100002,285.50000000000006,296.8,31.65,11.559999999999999,1,4
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,9985.0,10039.0,10466.5,14137.5,10315.5,8536.0,0.1562998405103662,0.007265903185448912,0.17214219090061075,-0.023543505366354432,10011.963593621384,14159.157672686606,17607.650844164305,1.208470009372057,110.1,30.029999,18.6,156.5,1.1,51.9,289.2,300.6,31.470005,11.429998999999999,1,4
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,10524.0,9921.0,10647.0,15543.0,11919.5,9642.5,0.13194355939918023,-0.056388895043537744,0.1925422948555638,-0.0058098342071701585,10218.052847778778,14463.084629497263,17959.38267313217,1.236142079336259,108.2,30.519999,19.84,157.8,1.4,54.9,289.5,300.90000000000003,32.096664,10.679998999999999,1,4
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,10262.5,9414.0,10207.0,13683.0,14011.5,11850.5,-0.01186156095975731,-0.15709065383900672,0.14284521099997854,0.0027113510344658996,9829.09838184561,13926.316894642316,17266.301029751565,1.1823551748871255,170.3,28.01,17.0,155.2,8.3,0.0,356.90000000000003,373.6,29.336668,11.010000000000002,1,4
